To Convert From	To	Multiply By
acres	ares	40.468 564 224
acres	hectares	0.404 685 642 24
acres	square feet	43,560
acres	square kilometers	0.004 046 856 422 4
acres	square meters	4,046.856 422 4
acres	square miles (statute)	0.001 562 50
acres	square yards	4,840
ares	square meters	100
ares	square yards	119.599
barrels, US beer	gallons	31
barrels, US beer	liters	117.347 77
barrels, US petroleum	gallons (British)	34.97
barrels, US petroleum	gallons (US)	42
barrels, US petroleum	liters	158.987 29
barrels, US proof spirits	gallons	40
barrels, US proof spirits	liters	151.416 47
bushels (US)	bushels (British)	0.968 9
bushels (US)	cubic feet	1.244 456
bushels (US)	cubic inches	2,150.42
bushels (US)	cubic meters	0.035 239 07
bushels (US)	cubic yards	0.046 090 96
bushels (US)	dekaliters	3.523 907
bushels (US)	dry pints	64
bushels (US)	dry quarts	32
bushels (US)	liters	35.239 070 17
bushels (US)	pecks	4
cables	fathoms	120
cables	meters	219.456
cables	yards	240
carat	milligrams	200
centimeters	feet	0.032 808 40
centimeters	inches	0.393 700 8
centimeters	meters	0.01
centimeters	yards	0.010 936 13
centimeters, cubic	cubic inches	0.061 023 744
centimeters, square	square feet	0.001 076 39
centimeters, square	square inches	0.155 000 31
centimeters, square	square meters	0.000 1
centimeters, square	square yards	0.000 119 599
chains, square surveyor's	ares	4.046 86
chains, square surveyor's	square feet	4,356
chains, surveyor's	feet	66
chains, surveyor's	meters	20.116 8
chains, surveyor's	rods	4
cords of wood	cubic feet	128
cords of wood	cubic meters	3.624 556
cords of wood	cubic yards	4.740 7
cups	liquid ounces (US)	8
cups	liters	0.236 588 2
degrees Celsius	degrees Fahrenheit	multiply by 1.8 and add 32
degrees Fahrenheit	degrees Celsius	subtract 32 and divide by 1.8
dekaliters	bushels	0.283 775 9
dekaliters	cubic feet	0.353 146 7
dekaliters	cubic inches	610.237 4
dekaliters	dry pints	18.161 66
dekaliters	dry quarts	9.080 829 8
dekaliters	liters	10
dekaliters	pecks	1.135 104
drams, avoirdupois	avoirdupois ounces	0.062 55
drams, avoirdupois	grains	27.344
drams, avoirdupois	grams	1.771 845 2
drams, troy	grains	60
drams, troy	grams	3.887 934 6
drams, troy	scruples	3
drams, troy	troy ounces	0.125
drams, liquid (US)	cubic inches	0.226
drams, liquid (US)	liquid drams (British)	1.041
drams, liquid (US)	liquid ounces	0.125
drams, liquid (US)	milliliters	3.696 69
drams, liquid (US)	minims	60
fathoms	feet	6
fathoms	meters	1.828 8
feet	centimeters	30.48
feet	inches	12
feet	kilometers	0.000 304 8
feet	meters	0.304 8
feet	statute miles	0.000 189 39
feet	yards	0.333 333 3
feet, cubic	bushels	0.803 563 95
feet, cubic	cubic decimeters	28.316 847
feet, cubic	cubic inches	1,728
feet, cubic	cubic meters	0.028 316 846 592
feet, cubic	cubic yards	0.037 037 04
feet, cubic	dry pints	51.428 09
feet, cubic	dry quarts	25.714 05
feet, cubic	gallons	7.480 519
feet, cubic	gills	239.376 6
feet, cubic	liquid ounces	957.506 5
feet, cubic	liquid pints	59.844 16
feet, cubic	liquid quarts	29.922 08
feet, cubic	liters	28.316 846 592
feet, cubic	pecks	3.214 256
feet, square	acres	0.000 022 956 8
feet, square	square centimeters	929.030 4
feet, square	square decimeters	9.290 304
feet, square	square inches	144
feet, square	square meters	0.092 903 04
feet, square	square yards	0.111 111 1
furlongs	feet	660
furlongs	inches	7,920
furlongs	meters	201.168
furlongs	statute miles	0.125
furlongs	yards	220
gallons, liquid (US)	cubic feet	0.133 680 6
gallons, liquid (US)	cubic inches	231
gallons, liquid (US)	cubic meters	0.003 785 411 784
gallons, liquid (US)	cubic yards	0.004 951 13
gallons, liquid (US)	gills (US)	32
gallons, liquid (US)	liquid gallons (British)	0.832 67
gallons, liquid (US)	liquid ounces	128
gallons, liquid (US)	liquid pints	8
gallons, liquid (US)	liquid quarts	4
gallons, liquid (US)	liters	3.785 411 784
gallons, liquid (US)	milliliters	3,785.411 784
gallons, liquid (US)	minims	61,440
gills (US)	centiliters	11.829 4
gills (US)	cubic feet	0.004 177 517
gills (US)	cubic inches	7.218 75
gills (US)	gallons	0.031 25
gills (US)	gills (British)	0.832 67
gills (US)	liquid ounces	4
gills (US)	liquid pints	0.25
gills (US)	liquid quarts	0.125
gills (US)	liters	0.118 294 118 25
gills (US)	milliliters	118.294 118 25
gills (US)	minims	1,920
grains	avoirdupois drams	0.036 571 43
grains	avoirdupois ounces	0.002 285 71
grains	avoirdupois pounds	0.000 142 86
grains	grams	0.064 798 91
grains	kilograms	0.000 064 798 91
grains	milligrams	64.798 910
grains	pennyweights	0.042
grains	scruples	0.05
grains	troy drams	0.016 6
grains	troy ounces	0.002 083 33
grains	troy pounds	0.000 200 61
grams	avoirdupois drams	0.564 383 39
grams	avoirdupois ounces	0.035 273 961
grams	avoirdupois pounds	0.002 204 622 6
grams	grains	15.432 361
grams	kilograms	0.001
grams	milligrams	1,000
grams	troy ounces	0.032 150 746 6
grams	troy pounds	0.002 679 23
hands (height of horse)	centimeters	10.16
hands (height of horse)	inches	4
hectares	acres	2.471 053 8
hectares	square feet	107,639.1
hectares	square kilometers	0.01
hectares	square meters	10,000
hectares	square miles	0.003 861 02
hectares	square yards	11,959.90
hundredweights, long	avoirdupois pounds	112
hundredweights, long	kilograms	50.802 345
hundredweights, long	long tons	0.05
hundredweights, long	metric tons	0.050 802 345
hundredweights, long	short tons	0.056
hundredweights, short	avoirdupois pounds	100
hundredweights, short	kilograms	45.359 237
hundredweights, short	long tons	0.044 642 86
hundredweights, short	metric tons	0.045 359 237
hundredweights, short	short tons	0.05
inches	centimeters	2.54
inches	feet	0.083 333 33
inches	meters	0.025 4
inches	millimeters	25.4
inches	yards	0.027 777 78
inches, cubic	bushels	0.000 465 025
inches, cubic	cubic centimeters	16.387 064
inches, cubic	cubic feet	0.000 578 703 7
inches, cubic	cubic meters	0.000 016 387 064
inches, cubic	cubic yards	0.000 021 433 47
inches, cubic	dry pints	0.029 761 6
inches, cubic	dry quarts	0.014 880 8
inches, cubic	gallons	0.004 329 0
inches, cubic	gills	0.138 528 1
inches, cubic	liquid ounces	0.554 112 6
inches, cubic	liquid pints	0.034 632 03
